Feats_subset,Model_name,n_est;max_dep;LR;n_neig,train_score,train_std,subm_score,subm_std
New,S_HGB,"(200, 7, 0.1, 5)",0.8249,0.0212,0.7464,0.0
High Corr.,S_HGB,"(50, 7, 0.1, 7)",0.8193,0.024,0.7464,0.0
New,S_HGB,"(200, 7, 0.1, 3)",0.8182,0.019,0.7464,0.0
High Corr.,S_KN,"(200, 3, 0.2, 3)",0.7946,0.018,0.744,0.0
New,S_HGB,"(100, 7, 0.1, 7)",0.8137,0.0159,0.744,0.0
New,S_KN,"(100, 5, 0.2, 7)",0.8126,0.0248,0.744,0.0
New,S_HGB,"(200, 5, 0.1, 7)",0.8159,0.0186,0.744,0.0
High Corr.,S_HGB,"(200, 7, 0.05, 3)",0.8216,0.0198,0.7416,0.0
High Corr.,S_KN,"(50, 7, 0.2, 3)",0.7991,0.0112,0.7416,0.0
New,S_HGB,"(50, 7, 0.2, 3)",0.8047,0.0159,0.7416,0.0
High Corr.,S_KN,"(50, 7, 0.05, 3)",0.7969,0.0208,0.7392,0.0
New,S_HGB,"(100, 7, 0.2, 3)",0.8058,0.0169,0.7392,0.0
New,S_HGB,"(50, 7, 0.1, 3)",0.8059,0.0129,0.7392,0.0
New,S_HGB,"(200, 7, 0.2, 5)",0.8092,0.0187,0.7392,0.0
New,S_HGB,"(50, 7, 0.1, 7)",0.8013,0.0152,0.7368,0.0
High Corr.,S_HGB,"(50, 5, 0.2, 3)",0.8081,0.0311,0.7368,0.0
High Corr.,S_HGB,"(200, 7, 0.05, 7)",0.8204,0.0261,0.7368,0.0
High Corr.,S_KN,"(50, 7, 0.1, 3)",0.7991,0.0212,0.7344,0.0
High Corr.,S_KN,"(100, 5, 0.2, 3)",0.8103,0.022,0.7321,0.0
High Corr.,S_KN,"(50, 5, 0.05, 7)",0.8103,0.0274,0.7321,0.0
New,S_HGB,"(200, 7, 0.2, 3)",0.8047,0.025,0.7273,0.0
High Corr.,S_KN,"(200, 7, 0.05, 3)",0.8137,0.0163,0.7225,0.0
High Corr.,S_KN,"(100, 7, 0.05, 3)",0.8025,0.0279,0.7057,0.0
